FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS
C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\00_FROZEN_RUNNER.py,00_FROZEN_RUNNER.py,.py,63499,2026-09-10T20:36:26.0315166Z,2026-09-10T20:36:22.4547515Z,AUTHORITY_OR_FREEZE|RUNNER,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\00_RUNNER_SHA256.txt,00_RUNNER_SHA256.txt,.txt,66,2026-09-10T20:36:26.0315166Z,2026-09-10T20:36:26.0315166Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\01_RAW_RESPONSES.jsonl,01_RAW_RESPONSES.jsonl,.jsonl,7815317,2026-09-10T20:36:29.5685899Z,2026-09-10T21:33:28.0063392Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\03_FROZEN_SPECIFICATION.json,03_FROZEN_SPECIFICATION.json,.json,2067,2026-09-10T20:36:26.0315166Z,2026-09-10T20:36:26.0315166Z,AUTHORITY_OR_FREEZE|PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\04_FROZEN_SPECIFICATION_SHA256.txt,04_FROZEN_SPECIFICATION_SHA256.txt,.txt,66,2026-09-10T20:36:26.0315166Z,2026-09-10T20:36:26.0315166Z,AUTHORITY_OR_FREEZE|PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\05_FROZEN_PROMPTS.csv,05_FROZEN_PROMPTS.csv,.csv,802657,2026-09-10T20:36:26.0940224Z,2026-09-10T20:36:26.1252656Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\06_RESPONSE_FEATURES.csv,06_RESPONSE_FEATURES.csv,.csv,1652389,2026-09-10T21:33:34.6015086Z,2026-09-10T21:33:34.7477360Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\07_SEED_LEVEL_RESULTS.csv,07_SEED_LEVEL_RESULTS.csv,.csv,512687,2026-09-10T21:33:36.7919072Z,2026-09-10T21:33:36.8400443Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\08_MODEL_CONDITION_RESULTS.csv,08_MODEL_CONDITION_RESULTS.csv,.csv,4441,2026-09-10T21:33:36.8868068Z,2026-09-10T21:33:36.8868068Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\09_MODEL_STRUCTURAL_CONTRASTS.csv,09_MODEL_STRUCTURAL_CONTRASTS.csv,.csv,2870,2026-09-10T21:33:59.3089819Z,2026-09-10T21:33:59.3089819Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
